operateur,id_support,technologie,adresse0,adresse1,adresse2,adresse3,code_postal,coordonnees,statut,statut_last,statut_old
SFR,474176,LTE 700,KERPONT,,,,56730,"47.516111111111, -2.838055555556",Projet approuvé,En service,Projet approuvé
SFR,474581,LTE 2600,,r du montcalm,D 179,,30600,"43.571111111111, 4.314166666667",Projet approuvé,En service,Projet approuvé
SFR,474764,LTE 700,LA COTE DE MONT,,,,88210,"48.417222222222, 7.025",Projet approuvé,En service,Projet approuvé
SFR,474764,LTE 2100,LA COTE DE MONT,,,,88210,"48.417222222222, 7.025",Projet approuvé,En service,Projet approuvé
SFR,485158,UMTS 900,Ranchette,Sur la Recliat,,,39200,"46.348333333333, 5.799722222222",Projet approuvé,En service,Projet approuvé
SFR,476279,LTE 800,LA PARRA,CHEM DE LIRAC,,,30150,"44.053333333333, 4.768888888889",Projet approuvé,En service,Projet approuvé
SFR,476279,UMTS 900,LA PARRA,CHEM DE LIRAC,,,30150,"44.053333333333, 4.768888888889",Projet approuvé,En service,Projet approuvé
SFR,480731,5G NR 3500,,7 R FRANZ LEHAR,,,18000,"47.096944444444, 2.414444444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,473772,LTE 700,PUY CHASTAGNOL,,,,19300,"45.395833333333, 2.044444444444",Projet approuvé,En service,Projet approuvé
SFR,538491,LTE 700,CHATEAUX VIEUX,,,,38710,"44.846111111111, 5.783611111111",Projet approuvé,En service,Projet approuvé
SFR,534191,LTE 700,LE CLOS,,,,85470,"46.600833333333, -1.821111111111",Projet approuvé,En service,Projet approuvé
SFR,526087,LTE 1800,sur le chem de la quemine,DÉPARTEMENTALE 42 -LIGNE TGV EST PK 275.224,,,54700,"48.944166666667, 6.088333333333",Projet approuvé,En service,Projet approuvé
SFR,526087,LTE 2100,sur le chem de la quemine,DÉPARTEMENTALE 42 -LIGNE TGV EST PK 275.224,,,54700,"48.944166666667, 6.088333333333",Projet approuvé,En service,Projet approuvé
SFR,526087,5G NR 2100,sur le chem de la quemine,DÉPARTEMENTALE 42 -LIGNE TGV EST PK 275.224,,,54700,"48.944166666667, 6.088333333333",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,516274,5G NR 3500,La Guirolle,Voie com n°6 de Gaillac,Près du Château d'eau,,81150,"43.927777777778, 2.031388888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,516274,LTE 700,La Guirolle,Voie com n°6 de Gaillac,Près du Château d'eau,,81150,"43.927777777778, 2.031388888889",Projet approuvé,En service,Projet approuvé
SFR,508463,LTE 700,LANDE DE TALHOUET,CHEM RURAL107,,,56250,"47.700277777778, -2.661111111111",Projet approuvé,En service,Projet approuvé
SFR,512830,LTE 700,,R DE LA PRE NEUVE,,,44350,"47.325277777778, -2.406666666667",Projet approuvé,En service,Projet approuvé
SFR,512830,5G NR 3500,,R DE LA PRE NEUVE,,,44350,"47.325277777778, -2.406666666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,512840,5G NR 2100,,r du Dr Schweitzer,Hôpital St-Louis,,17000,"46.159722222222, -1.143611111111",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,512840,5G NR 3500,,r du Dr Schweitzer,Hôpital St-Louis,,17000,"46.159722222222, -1.143611111111",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,522977,LTE 700,,2 CITÉ LES BEGUINES,,,28110,"48.433611111111, 1.444166666667",Projet approuvé,En service,Projet approuvé
SFR,509592,LTE 2600,L'ETOILE,2 av Commerces,ccal de mondeville,,14120,"49.164166666667, -.295555555556",Projet approuvé,En service,Projet approuvé
SFR,523472,5G NR 3500,,63 R DU CHATEAU D'EAU,PRES D.13,,11590,"43.242222222222, 2.997222222222",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,522819,LTE 2100,Les Prugnes - Les Vignes,D.943,Chem rural des Prugnes à Mortaret,,3370,"46.448611111111, 2.478055555556",Projet approuvé,En service,Projet approuvé
SFR,522819,5G NR 2100,Les Prugnes - Les Vignes,D.943,Chem rural des Prugnes à Mortaret,,3370,"46.448611111111, 2.478055555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,510718,LTE 700,TAINVILLE,CHEM RURAL DIT R DE TAINVILLE,,,14330,"49.241388888889, -.881666666667",Projet approuvé,En service,Projet approuvé
SFR,510718,LTE 2600,TAINVILLE,CHEM RURAL DIT R DE TAINVILLE,,,14330,"49.241388888889, -.881666666667",Projet approuvé,En service,Projet approuvé
SFR,519439,LTE 2100,LES MATELOTTES,LES BRUYERES,,,45500,"47.718333333333, 2.578333333333",Projet approuvé,En service,Projet approuvé
SFR,519967,5G NR 3500,Le Pic,Le Prieuré,,,42610,"45.5575, 4.126111111111",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,587608,LTE 2600,,r du chateau d'eau,,,18100,"47.21, 2.066111111111",Projet approuvé,En service,Projet approuvé
SFR,604934,5G NR 2100,Kerntanellan Le Merdy,chem rural station epuration,,,29260,"48.534166666667, -4.302777777778",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,597633,UMTS 900,,r de maubeuge,Le Stade,,59138,"50.212777777778, 3.868055555556",Projet approuvé,En service,Projet approuvé
SFR,584429,LTE 700,Les Garrigues,Mas de Trinquier,Chem rural,,34130,"43.620833333333, 3.950833333333",Projet approuvé,En service,Projet approuvé
SFR,590337,LTE 700,TOMBES,Collo - Quartier Pallaone,N 196,,20100,"41.618055555556, 8.969166666667",Projet approuvé,En service,Projet approuvé
SFR,590337,5G NR 3500,TOMBES,Collo - Quartier Pallaone,N 196,,20100,"41.618055555556, 8.969166666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,584827,LTE 1800,Le Champ Chevreau,Voie communale n°202,Près N.137,,85210,"46.529166666667, -1.079166666667",Projet approuvé,En service,Projet approuvé
SFR,584827,LTE 2100,Le Champ Chevreau,Voie communale n°202,Près N.137,,85210,"46.529166666667, -1.079166666667",Projet approuvé,En service,Projet approuvé
SFR,585709,LTE 1800,Blauberg,pl des tilleuls,,,57200,"49.103333333333, 7.063055555556",Projet approuvé,En service,Projet approuvé
SFR,602306,LTE 700,PORT DU CROUESTY,Phare d'Alignement,,,56640,"47.543888888889, -2.895277777778",Projet approuvé,En service,Projet approuvé
SFR,602306,5G NR 3500,PORT DU CROUESTY,Phare d'Alignement,,,56640,"47.543888888889, -2.895277777778",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,567077,5G NR 3500,LE CHAMPS DU CLOU,RD 153,,,58150,"47.307222222222, 2.961111111111",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,571021,UMTS 900,Potzacker,,,,57720,"49.130555555556, 7.336388888889",Projet approuvé,En service,Projet approuvé
SFR,571329,LTE 2100,Le Pradet,Terrain S.N.C.F.,,,30133,"43.947222222222, 4.746666666667",Projet approuvé,En service,Projet approuvé
SFR,571329,LTE 2600,Le Pradet,Terrain S.N.C.F.,,,30133,"43.947222222222, 4.746666666667",Projet approuvé,En service,Projet approuvé
SFR,576567,LTE 1800,LA GUERINE,RTE DE BRIGNOLES,,,83340,"43.412777777778, 6.171388888889",Projet approuvé,En service,Projet approuvé
SFR,576567,LTE 2100,LA GUERINE,RTE DE BRIGNOLES,,,83340,"43.412777777778, 6.171388888889",Projet approuvé,En service,Projet approuvé
SFR,576567,5G NR 2100,LA GUERINE,RTE DE BRIGNOLES,,,83340,"43.412777777778, 6.171388888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,555026,LTE 700,,AV EDMOND DEMOLINS-RN 26,,,27130,"48.741111111111, .904444444444",Projet approuvé,En service,Projet approuvé
SFR,555026,LTE 2600,,AV EDMOND DEMOLINS-RN 26,,,27130,"48.741111111111, .904444444444",Projet approuvé,En service,Projet approuvé
SFR,651875,5G NR 2100,,PROMENADE MARCEL PROUST,Grand Hôtel Jardin du Casino,,14390,"49.293888888889, -.115555555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,746861,LTE 1800,BORDAFAUX,,,,58210,"47.3575, 3.378611111111",Projet approuvé,En service,Projet approuvé
SFR,613343,5G NR 3500,,r emile zola,,,41200,"47.363333333333, 1.740833333333",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,614006,LTE 700,Les Gannes,Château d'eau de la Palmyre,près de l'hippodrome,,17570,"45.694166666667, -1.169444444444",Projet approuvé,En service,Projet approuvé
SFR,614006,5G NR 3500,Les Gannes,Château d'eau de la Palmyre,près de l'hippodrome,,17570,"45.694166666667, -1.169444444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,622095,LTE 700,,Camping de l'Espiguette,,,30240,"43.506388888889, 4.129722222222",Projet approuvé,En service,Projet approuvé
SFR,622990,5G NR 3500,,13 chem rural d'aunette,stade chem de la guy,,91160,"48.675, 2.300833333333",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,757770,LTE 2600,,"5, Cours Jacquin",,,10000,"48.304166666667, 4.081111111111",Projet approuvé,En service,Projet approuvé
SFR,755185,LTE 700,La Moricière,D.949 - R Raoul de Rochebrune,En face du Cimetière,,85540,"46.46, -1.341388888889",Projet approuvé,En service,Projet approuvé
SFR,733667,LTE 1800,la lande st luc,,,,50450,"48.900555555556, -1.354722222222",Projet approuvé,En service,Projet approuvé
SFR,733667,LTE 2100,la lande st luc,,,,50450,"48.900555555556, -1.354722222222",Projet approuvé,En service,Projet approuvé
SFR,734294,LTE 1800,Le Maupas,D.408 - Rte de Paris,,,77370,"48.556666666667, 2.9775",Projet approuvé,En service,Projet approuvé
SFR,734294,LTE 2100,Le Maupas,D.408 - Rte de Paris,,,77370,"48.556666666667, 2.9775",Projet approuvé,En service,Projet approuvé
SFR,735663,5G NR 2100,La Chaume,chem rural 23,,,45570,"47.763333333333, 2.49",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,714071,5G NR 3500,,r de croazou,,,29430,"48.62, -4.196944444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,707546,5G NR 3500,,Triage de Gravanches,,,63000,"45.811944444444, 3.131944444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,707882,LTE 700,,2 R DU LIERRE,,,27100,"49.272777777778, 1.215277777778",Projet approuvé,En service,Projet approuvé
SFR,707882,LTE 2600,,2 R DU LIERRE,,,27100,"49.272777777778, 1.215277777778",Projet approuvé,En service,Projet approuvé
SFR,707908,LTE 2100,Le Bois Solon,Site ITAS TIM,,,56140,"47.803611111111, -2.395555555556",Projet approuvé,En service,Projet approuvé
SFR,707908,LTE 2600,Le Bois Solon,Site ITAS TIM,,,56140,"47.803611111111, -2.395555555556",Projet approuvé,En service,Projet approuvé
SFR,689751,5G NR 3500,,12 r lavoisier,,,69003,"45.756111111111, 4.858333333333",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,820538,LTE 1800,Le Dessus de Broute-Bique,Champ Pommard,,,89700,"47.861944444444, 3.894722222222",Projet approuvé,En service,Projet approuvé
SFR,824564,UMTS 900,,Gaztelugaine,,,64220,"43.1875, -1.196944444444",Projet approuvé,En service,Projet approuvé
SFR,814908,LTE 2100,LA HAUTE BORNE,csec,,,80420,"50.023055555556, 2.068611111111",Projet approuvé,En service,Projet approuvé
SFR,814908,LTE 2600,LA HAUTE BORNE,csec,,,80420,"50.023055555556, 2.068611111111",Projet approuvé,En service,Projet approuvé
SFR,837057,5G NR 3500,,68 R JACQUES PREVERT,,,95320,"49.009444444444, 2.241388888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,817313,5G NR 3500,,"17, av de l'europe",Stade Louison Bobet,Pylône d'éclairage,94420,"48.8025, 2.578055555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,764152,LTE 700,Cardonville,r du Commando D,ZI de Cardonville,,14740,"49.206666666667, -.519722222222",Projet approuvé,En service,Projet approuvé
SFR,764152,LTE 2600,Cardonville,r du Commando D,ZI de Cardonville,,14740,"49.206666666667, -.519722222222",Projet approuvé,En service,Projet approuvé
SFR,786293,LTE 1800,Les Justices,Aux Justices,,,42620,"46.2025, 3.816388888889",Projet approuvé,En service,Projet approuvé
SFR,786732,LTE 2100,LA CAILLETELLE,CHEM D'ARTON,,,44270,"47.003611111111, -1.829444444444",Projet approuvé,En service,Projet approuvé
SFR,799818,LTE 1800,Bois de Buchaille,,,,1480,"46.055, 4.851944444444",Projet approuvé,En service,Projet approuvé
SFR,799589,LTE 700,,20 All Turcat-Méry,,,13008,"43.280555555556, 5.388611111111",Projet approuvé,En service,Projet approuvé
SFR,783487,5G NR 3500,,2 r eugène claudius petit,,,49100,"47.476944444444, -.539166666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,854877,5G NR 3500,,8 av romain rolland,Les Palmiers,,38400,"45.167777777778, 5.761666666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1485525,UMTS 900,Curninge,,,,74500,"46.358333333333, 6.566666666667",Projet approuvé,En service,Projet approuvé
SFR,1522428,LTE 700,,16 BD PASTEUR,,,63500,"45.548055555556, 3.246666666667",Projet approuvé,En service,Projet approuvé
SFR,1522428,5G NR 3500,,16 BD PASTEUR,,,63500,"45.548055555556, 3.246666666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1559340,LTE 700,,7 R LOUIS LE BOURHIS,ZA du Guelen,,29000,"47.982777777778, -4.032222222222",Projet approuvé,En service,Projet approuvé
SFR,1559340,LTE 2600,,7 R LOUIS LE BOURHIS,ZA du Guelen,,29000,"47.982777777778, -4.032222222222",Projet approuvé,En service,Projet approuvé
SFR,1559340,5G NR 3500,,7 R LOUIS LE BOURHIS,ZA du Guelen,,29000,"47.982777777778, -4.032222222222",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1475104,LTE 1800,LAS CARBONNIERES,CHEM DU VIEUX MOULIN,,,31850,"43.639166666667, 1.53",Projet approuvé,En service,Projet approuvé
SFR,1564230,5G NR 3500,,18 R DE CHAMPAGNE,,,14000,"49.194722222222, -.390277777778",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1475104,LTE 2600,LAS CARBONNIERES,CHEM DU VIEUX MOULIN,,,31850,"43.639166666667, 1.53",Projet approuvé,En service,Projet approuvé
SFR,1475104,5G NR 3500,LAS CARBONNIERES,CHEM DU VIEUX MOULIN,,,31850,"43.639166666667, 1.53",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1454452,UMTS 900,Champ Dame Villeul,Bois de Sebourg,,,59990,"50.328611111111, 3.649166666667",Projet approuvé,En service,Projet approuvé
SFR,1456393,5G NR 3500,Mané Justice,Déchetterie du Sclégen,RD 28,,56950,"47.65, -2.987777777778",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1450560,GSM 900,,1 r jean fragonard,ZI Haut Madère,,33140,"44.785, -.589444444444",Projet approuvé,En service,Projet approuvé
SFR,1450560,LTE 700,,1 r jean fragonard,ZI Haut Madère,,33140,"44.785, -.589444444444",Projet approuvé,En service,Projet approuvé
SFR,1450560,LTE 800,,1 r jean fragonard,ZI Haut Madère,,33140,"44.785, -.589444444444",Projet approuvé,En service,Projet approuvé
SFR,1450560,LTE 1800,,1 r jean fragonard,ZI Haut Madère,,33140,"44.785, -.589444444444",Projet approuvé,En service,Projet approuvé
SFR,1450560,LTE 2100,,1 r jean fragonard,ZI Haut Madère,,33140,"44.785, -.589444444444",Projet approuvé,En service,Projet approuvé
SFR,1450560,LTE 2600,,1 r jean fragonard,ZI Haut Madère,,33140,"44.785, -.589444444444",Projet approuvé,En service,Projet approuvé
SFR,1450560,UMTS 900,,1 r jean fragonard,ZI Haut Madère,,33140,"44.785, -.589444444444",Projet approuvé,En service,Projet approuvé
SFR,1450560,5G NR 3500,,1 r jean fragonard,ZI Haut Madère,,33140,"44.785, -.589444444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1434767,5G NR 3500,,78 rue du Général Leclerc,,,94270,"48.810833333333, 2.3525",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1450705,UMTS 900,,La Greffate Est,,,74160,"46.121388888889, 6.083888888889",Projet approuvé,En service,Projet approuvé
SFR,1660755,5G NR 2100,LES AUBAZINES,CHEMIN DE LA CÔTE,,,19110,"45.4075, 2.495",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1661308,LTE 700,,7 av Pierre de Coubertin,Stade Municipal Léo Lagrange,,44600,"47.270277777778, -2.230277777778",Projet approuvé,En service,Projet approuvé
SFR,1661308,LTE 2100,,7 av Pierre de Coubertin,Stade Municipal Léo Lagrange,,44600,"47.270277777778, -2.230277777778",Projet approuvé,En service,Projet approuvé
SFR,1661308,LTE 2600,,7 av Pierre de Coubertin,Stade Municipal Léo Lagrange,,44600,"47.270277777778, -2.230277777778",Projet approuvé,En service,Projet approuvé
SFR,1661308,5G NR 3500,,7 av Pierre de Coubertin,Stade Municipal Léo Lagrange,,44600,"47.270277777778, -2.230277777778",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1671530,UMTS 900,du Vert Donjon,R DU VERT DONJON,,,59530,"50.194444444444, 3.712777777778",Projet approuvé,En service,Projet approuvé
SFR,1635007,LTE 2100,MONT ARAGNOUE,,,,31160,"43.0075, .918888888889",Projet approuvé,En service,Projet approuvé
SFR,1614497,5G NR 3500,,2 r Vincent Scotto,tour solazur 2,,65000,"43.228611111111, .0525",Projet approuvé,Techniquement opérationnel,Projet approuvé
SFR,1620332,LTE 700,,4 R ACHILLE ROCHE,Lycée St Benoit,,3000,"46.563333333333, 3.328888888889",Projet approuvé,En service,Projet approuvé
